university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
國立臺灣大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,88.45,86.4634
國立陽明大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,87.19,85.3363
國立臺灣大學,財務金融學系,109,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,90.5511,84.8395
國立臺灣大學,法律學系財經法學組,109,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1.25,85.8857,84.7916
國立臺灣大學,醫學系(公費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,86.29,84.5161
國立臺灣大學,牙醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,86.26,84.488
臺北醫學大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,86.21,84.4412
國立成功大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,86.14,84.3757
長庚大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,85.71,84.0128
國立臺灣大學,法律學系司法組,109,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1.25,84.4762,83.4697
馬偕醫學院,醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,84.85,83.3207
國立臺灣大學,經濟學系,109,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,88.6178,83.1555
國立陽明大學,牙醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,84.48,83.0139
國立交通大學,資管與財金學系財務金融組,109,1,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,88.56,82.917
國立臺灣大學,國際企業學系,109,1,2,NULL,2,NULL,NULL,NULL,1,1,NULL,85.7857,82.8105
輔仁大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,84.16,82.7486
國立臺灣大學,法律學系法學組,109,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1.25,83.6667,82.7047
高雄醫學大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,84.09,82.6906
中國醫藥大學,醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,84.05,82.6574
臺北醫學大學,牙醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,84,82.6159
國立成功大學,牙醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.68,82.3472
國立臺灣大學,電機工程學系,109,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,84.26,82.3316
國立臺灣大學,工商管理學系企業管理組,109,1,2,NULL,2,NULL,NULL,NULL,1,1,NULL,84.8857,82.1175
長庚大學,中醫學系,109,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,83.03,82.1009
慈濟大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.35,82.0702
國立臺灣大學,歷史學系,109,1,1,NULL,NULL,NULL,NULL,NULL,1,1,1,82.22,82.0068
中山醫學大學,醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.22,81.961
國立臺灣大學,資訊工程學系,109,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,83.74,81.9371
中國醫藥大學,牙醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.19,81.9358
