university,subject,year,chinese,english,mathA,mathB,physics,chemistry,biology,history,geography,citizen,average,0
國立臺灣大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,88.45,86.4634
國立陽明大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,87.19,85.3363
國立臺灣大學,醫學系(公費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,86.29,84.5161
國立臺灣大學,牙醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,86.26,84.488
國立臺灣大學,法律學系財經法學組,109,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1.25,85.8857,84.4517
臺北醫學大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,86.21,84.4412
國立成功大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,86.14,84.3757
長庚大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,85.71,84.0128
馬偕醫學院,醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,84.85,83.3207
國立臺灣大學,法律學系司法組,109,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1.25,84.4762,83.1351
國立陽明大學,牙醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,84.48,83.0139
輔仁大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,84.16,82.7486
高雄醫學大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,84.09,82.6906
中國醫藥大學,醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,84.05,82.6574
臺北醫學大學,牙醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,84,82.6159
國立臺灣大學,法律學系法學組,109,1,1,NULL,1,NULL,NULL,NULL,1,NULL,1.25,83.6667,82.3733
國立成功大學,牙醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.68,82.3472
國立臺灣大學,電機工程學系,109,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,84.26,82.3316
長庚大學,中醫學系,109,1,1,1,NULL,NULL,1,1,NULL,NULL,NULL,83.03,82.1009
國立臺灣大學,財務金融學系,109,1,1.5,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,90.5511,82.0805
慈濟大學,醫學系(自費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.35,82.0702
國立臺灣大學,歷史學系,109,1,1,NULL,NULL,NULL,NULL,NULL,1,1,1,82.22,82.0068
中山醫學大學,醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.22,81.961
國立臺灣大學,資訊工程學系,109,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,83.74,81.9371
中國醫藥大學,牙醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.19,81.9358
國立陽明大學,醫學系(公費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.16,81.9106
國立清華大學,電機資訊學院學士班甲組,109,1,1,1,NULL,1,1,NULL,NULL,NULL,NULL,83.61,81.8413
臺北醫學大學,醫學系(公費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.07,81.8351
高雄醫學大學,牙醫學系,109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.07,81.8351
國立成功大學,醫學系(公費),109,NULL,1,1,NULL,1,1,1,NULL,NULL,NULL,83.04,81.8099
